word,score
振幅,0.010722273
さしかかる,-0.005580171
出し始める,0.009776609
巣ごもる,0.00250325
高,0.052649567
民主,-0.002795438
判明,-0.032763203
委譲,-0.004537181
悪い,0.001881545
黒川,-0.019295522
室長,0.006963437
下院,-0.047732778
始められる,0.007406376
リアル,-0.002833564
のせる,0.007154124
シラー,0.058593913
財政難,7.91585E-05
水力発電,-0.007169811
即座,0.008959052
バク,0
小糸製作所,-0.019672245
はやす,-0.004775226
巌,0.016144031
ないがしろ,-0.00779672
バイ,-0.015589806
高金利,0.01825389
商務,0.008888255
請け負う,0.004476548
ジェットエンジン,0.010003353
後半,0.080734501
バス,0.041574645
州,0.009558732
川,0.013047734
競合,0.00336561
資本市場,0.006386943
産物,-0.01427321
航空業界,-0.010099498
感染症,0.032969683
米田,-0.006017773
安全対策,0.019832768
社会党,-0.006597579
吉永,-0.017481899
違う,-0.01649775
違い,0.005160893
巡,0.018785488
巧,0
左,0.00303906
製鉄所,-0.006440737
債券市場,-0.009587633
巻,-0.002306587
ひぼう,0.011318753
引かれる,0.004233403
下がり,0.009628368
プノンペン,-0.000271792
さらされない,-0.008109764
巳,0.032227117
己,-0.001976716
裁判所,0.007977393
石田,-0.010998462
エール,-0.019293303
神経質,-0.026497939
来期,0.03857579
海抜,0.02584989
導出,0.008124097
栽培,-0.00026479
非製造業,-0.012856216
労働基準法,0.005256618
溶ける,-0.016487272
ネガティブ,-0.068611912
ハワイ,-0.008149608
分かれる,-0.004340258
落ち始める,-0.007471738
中央銀行,0.016697057
売り場,-0.004136566
狭める,0.004824778
酪農,-0.000955716
モデルケース,0.002787118
足し算,0.007030531
ケープタウン,-0.007894553
住友電気工業,0.045195543
適宜,-0.013616506
張り付く,0.005331536
受けとめられる,0.010583046
康伸,0.011965745
求める,0.000546952
起点,-0.040855546
成田空港,0.038251476
関わらぬ,0.009189156
裁定,-0.023707239
カラー,0.013268228
夫婦,0.001530086
なり買い戻す,0.011877428
増殖,0.007683904
引き継ぐ,0.021554837
突っ込み,0.003741863
立法,-0.025798154
横尾,0.002323863
成田,0.001589931
鴻,-0.000925341
日立金属,-0.022108749
蒸留,0.017245872
西岡,-0.00239207
仕入れ,0.009771026
なり過ぎる,0.009408169
住専,-0.019497883
メモ,-0.006824462
ワトソン,0
西岸,0.015362262
排ガス規制,-0.041513539
国防省,0.007483754
ストレージ,0.006496464
年中,0
最後の審判,-0.011581624
地方公務員,0.00658807
朝鮮半島,0.027257621
書類,-0.016480173
皮肉る,-0.005563891
メン,0.008843748
適任,0.004434525
綱引き,-0.01693253
樽,0.009529578
知事,0.013012963
平年,-0.009985963
メド,-0.019299078
配す,-0.011186447
リオ,-0.010437156
印刷機,-0.005809099
疑惑,0.000164486
食い止める,-0.018228661
緊急,-0.032673157
視察,0.000650562
いくら,-0.000350621
刺す,-0.003519558
沿線,0.005311636
見ぬ,-0.016533102
バランス,-0.005706929
疑念,-0.005898317
つくらない,-0.014245876
歩く,0.008162012
欠かせない,-0.019442608
キャデラック,-0.003873879
デジタル技術,0.018363353
貯留,-0.017650525
様々,-0.018080468
ラオックス,0.023282545
位置付ける,-0.001802442
最上級,-0.018412657
いぶかる,0.003044897
冷水,-0.008959538
不動産取引,-0.032910845
携わる,0.012563645
独占,-0.006185706
突っ込む,-0.01690402
抱える,0.004904513
身軽,0.016553388
田口,0.002956
負う,-0.024482806
見られない,0.006692923
フランソワ,0.003791074
心掛ける,-0.010956237
総合スーパー,0.00628812
同額,-0.006209841
品種,0.012869332
大改革,0.006645553
ハンデ,-0.015285152
重鎮,-0.010742844
シード,-0.003553383
醤油,0.0052504
仕舞う,0.006276949
地域開発,-0.008684434
待ち構える,-0.000827456
航空機,0.026630091
チェンジ,-0.003417182
挙げない,-0.007016002
克弘,0
割り込まない,0.016904864
方,0.032298136
毎期,-0.018403881
パーソナル,-0.013150754
杉本,-0.010569445
無償,-0.010537757
歴任,-0.010199231
打ち出す,-0.015952341
日本語,-0.039550766
受け入れぬ,0.018024069
乗っ取られる,-0.008826118
続投,-0.002921292
出口,0.005216014
話し合う,-0.030785564
乗り越える,-0.022319369
販売台数,0.003865486
与えかねぬ,-0.015562895
北陸新幹線,-0.010139352
毎月,0.003905673
根絶,0
優,-0.021271864
すべて,-0.006100222
し切れる,0
藤森,0.023976466
事業撤退,-0.002835276
売り惜しむ,0.016857846
不成立,-0.022249871
外貨準備高,-0.004644166
政権交代,-0.008801122
中古住宅,-0.009212471
高め,-0.011745257
成分,-0.015296071
広瀬,0.045080141
コールオプション,0.018016088
パンジャブ,0.011707268
開ける,-0.004868029
キロメートル,0.004863473
東洋電機,-0.018376555
阪神大震災,-0.033486249
文京,0.014801061
海上自衛隊,0
皮膚,0.005550491
テック,0.036867183
オーディエンス,-0.013246294
失態,-0.008945179
同等,0.004960159
入らぬ,-0.005750059
寿雄,-0.00076069
発行,-0.041224533
愛される,0.004247151
都市開発,-0.027108145
寒気,-0.005164323
トーン,0.000621963
買い取り,-0.016431125
乗り越えられる,-0.009705328
気体,-0.028723623
決着,-0.034749808
月岡,0
インストール,-0.004883314
労働問題,-0.018632473
容量,-0.0173967
国民所得統計,-0.004420941
訳,-0.000150753
会長,0.002075734
康宏,0.0093544
医療検査,-0.012834346
門,0.018422345
陳腐,0.010007058
格闘,-0.018807432
戻り売る,-0.002389977
サウジ,0.003587252
開,0.004475266
ゴルフ,0.022642918
し買い戻す,-0.006157545
間,-0.018760413
ぬか,-0.010893288
まかなう,-0.011015561
しかねる,0.005547485
暫定政権,-0.013911178
関,0.004010313
別々,0.001291615
リバー,0.015034782
記,-0.069576826
造成,-0.007507062
小売市場,0.013506253
不参加,0.006052628
土木工事,0.000845258
道明,-0.011247277
慌てる,0.016370146
攻め,0.018105736
ワタナベ,-0.010926677
計,-0.01313944
くる,0.019212238
片付けられない,-0.004197446
制止,-0.009942098
グローバルスタンダード,-0.006970499
ダンピング関税,0
支払い,-0.007362638
はさむ,-0.037374185
支払う,0.003743117
九州,0.037655024
配当,0.023721477
飾る,-0.006225334
機関車,0.013958913
強じん,0.010179564
初頭,0.012385343
引き連れる,0
豊田通商,-0.006343449
寂しい,-0.012269569
上げ過ぎる,0.012095079
水平,0.015398819
優子,0.036441228
市場,-0.002410079
弊害,-0.001952153
価額,-0.024118049
英知,-0.013966102
代表取締役,0.002928061
されるだろう,-0.009847895
見出せる,-0.012196648
電磁波,-0.011766836
ハンター,-0.00350326
ガラパゴス,0.023118943
ハプニング,-0.00776913
海外旅行,0.000289432
騰勢,0.01029211
組み込む,-0.026332867
しょうが,0.01062177
平日,-0.010419425
加重,-0.01702963
高塚,0.002080952
ボーダー,-0.005671951
横やり,0.02063483
骨子,0.014204315
少女,0.003518133
慢心,0.006321111
地ならし,0.011561712
マガジン,0.028407575
クオーター,0.00781606
洗濯乾燥機,0.007837559
カスミ,-0.012528381
著名,0.016989995
腰折れ,0.013925836
簡略,-0.017652264
