,word,score
467,こっ酷い,-1
468,こてんこてん,-1
469,ごしゃごしゃ,-1
470,ごちゃごちゃ,-1
471,ごっちゃ,-1
472,ごてごて,-1
473,ごみごみ,-1
474,ご法度,-1
475,さもしい,-1
476,しかた,-1
477,しかつめらしい,-1
478,しつこい,-1
479,しどろ,-1
480,しどろもどろ,-1
481,しみったれる,-1
482,しょうが,-1
483,しょぼい,-1
484,しょぼしょぼ,-1
485,しらじらしい,-1
486,しわくちゃ,-1
487,しわしわ,-1
488,しんどい,-1
489,しんねり,-1
490,じじむさい,-1
491,じゃじゃ馬,-1
492,じゃま,-1
493,じれったい,-1
494,すかたん,-1
495,すげない,-1
496,すじ,-1
497,すたれる,-1
498,ずうずうしい,-1
499,ずるい,-1
500,ずれる,-1
501,ずんべらぼう,-1
502,せこい,-1
503,せせこましい,-1
504,せっかち,-1
505,せわしい,-1
506,せわしない,-1
507,そぐわない,-1
508,そそっかしい,-1
509,そっけ,-1
510,そらぞらしい,-1
511,ぞっと,-1
512,ぞんざい,-1
513,たけだけしい,-1
514,たじたじ,-1
515,たどたどしい,-1
516,たより,-1
517,だぶつく,-1
518,だらし,-1
519,だるい,-1
520,ちぐはぐ,-1
521,ちっぽけ,-1
522,ちび,-1
523,ちまちま,-1
524,ちゃち,-1
525,ちゃらっぽこ,-1
526,ちんちくりん,-1
527,ちんまり,-1
528,つかむ,-1
529,つたない,-1
530,つまらない,-1
531,つまる,-1
532,つれない,-1
533,つんつるてん,-1
534,できる,-1
535,でくの坊,-1
536,でしゃばる,-1
537,とげ,-1
538,とげとげしい,-1
539,とっつく,-1
540,とぼける,-1
541,とりとめる,-1
542,とろい,-1
543,とんがる,-1
544,とんちんかん,-1
545,とんでも,-1
546,とんま,-1
547,ど,-1
548,どぎつい,-1
549,どけ,-1
550,どじ,-1
551,どす黒い,-1
552,どっち,-1
553,どん,-1
554,なおざり,-1
555,なごりおしい,-1
556,なじむ,-1
557,なまぬるい,-1
558,なよなよ,-1
559,なれなれしい,-1
560,にちゃにちゃ,-1
561,にぶい,-1
562,にべ,-1
563,ねたましい,-1
564,ねちねち,-1
565,のらりくらり,-1
566,のろい,-1
567,のろくさい,-1
568,のろのろ,-1
569,のろま,-1
570,はかばかしい,-1
571,はしたない,-1
572,はずれ,-1
573,はで,-1
574,ばか,-1
575,ばかくさい,-1
576,ばっちい,-1
577,ばらつき,-1
578,ひやひや,-1
579,ひょろひょろ,-1
580,ひ弱い,-1
581,びしょびしょ,-1
582,ふがいない,-1
583,ふつつか,-1
584,ふてぶてしい,-1
585,ふにゃふにゃ,-1
586,ふらふら,-1
587,ふんぞり返る,-1
588,ぶよぶよ,-1
589,へいこら,-1
590,へそ曲がり,-1
591,へたくそ,-1
592,へとへと,-1
593,へなへな,-1
594,べとつく,-1
595,べとべと,-1
596,ぺしゃんこ,-1
597,ぺてん師,-1
598,ほど遠い,-1
599,ぼさっと,-1
600,ぼやける,-1
601,ぼやぼや,-1
602,ぼろい,-1
603,ぼろぼろ,-1
604,ぼんくら,-1
605,ぼんやり,-1
606,まがい物,-1
607,まがまがしい,-1
