,word,score
420,くそ力,1
421,くたくた,-1
422,くたびれ,-1
423,くたびれもうけ,-1
424,くだらなさ,-1
425,くちびる,0
426,くつろぎ,1
427,くどさ,-1
428,くも膜下出血,-1
429,くやしさ,-1
430,くる病,-1
431,ぐちゃぐちゃ,-1
432,ぐりぐり,0
433,けが,-1
434,けがれ,-1
435,けが人,-1
436,けだるさ,-1
437,けち,-1
438,けったい,-1
439,けなげ,1
440,けり,0
441,けんか,-1
442,けんか腰,-1
443,げき,0
444,げた,0
445,げんなり,-1
446,こいつら,0
447,こく,1
448,ここ,0
449,ここら,0
450,こそ泥,-1
451,こちこち,-1
452,このまま,0
453,この世,0
454,こび,-1
455,こまめ,1
456,こらえ性,1
457,こわさ,-1
458,こんとん,-1
459,ごあいさつ,0
460,ごたごた,-1
461,ごたまぜ,-1
462,ごちゃまぜ,-1
463,ごまかし,-1
464,ごまのはえ,-1
465,ごみ,-1
466,ごみ減量,0
467,ごろごろ,0
468,ご愛顧,0
469,ご挨拶,0
470,ご案内,0
471,ご意見ご要望,0
472,ご縁,1
473,ご家庭,0
474,ご活躍,1
475,ご感想,0
476,ご希望,0
477,ご機嫌,1
478,ご協力,0
479,ご教示,0
480,ご興味,1
481,ご苦労,-1
482,ご好評,1
483,ご講演,0
484,ご賛同,0
485,ご指示,0
486,ご指導,0
487,ご指導ご鞭撻,0
488,ご支援,0
489,ご支援ご協力,0
490,ご支持,0
491,ご主人様,0
492,ご祝辞,0
493,ご助言,0
494,ご紹介,0
495,ご心配,-1
496,ご尽力,0
497,ご声援,0
498,ご先祖様,0
499,ご提案,0
500,ご都合主義,-1
501,ご入金,0
502,ご配慮,0
503,ご病気,-1
504,ご不便,-1
505,ご返事,0
506,ご鞭撻,0
507,ご褒美,1
508,ご満足,1
509,ご迷惑,-1
510,ご予約,0
511,ご要望,0
512,ご利益,-1
513,ご了解,0
514,ご了承,0
515,ご連絡,0
516,さっぱり,1
517,さばさば,1
518,さび,-1
519,さびしさ,-1
520,さみしさ,-1
521,さら,0
522,さわやか,1
523,さわやかさ,1
524,ざらつき,-1
525,ざわめき,-1
526,しあわせ,1
527,しがらみ,-1
528,しくじり,-1
529,しこめ,-1
530,しこり,-1
531,したい放題,-1
532,したたか,-1
533,しっかり,1
534,しっぺ返し,-1
535,しつこさ,-1
536,しとやか,1
537,しなやか,1
538,しなやかさ,1
539,しびれ,-1
540,しみ,-1
541,しゃがれ声,0
542,しゃっくり,-1
543,しゃれ男,1
544,しゃんと,0
545,しょっぱさ,-1
546,しらふ,-1
547,しり押し,0
548,しり切れ,-1
549,しるし,0
550,しるべ,0
551,しわ,-1
552,しわ寄せ,-1
553,しんどさ,-1
554,し損ない,-1
555,じかん,0
556,じっくり,0
557,じゅもん,0
558,じり高,-1
559,じり貧,-1
560,すうっと,0
561,すかっと,1
562,すかんぴん,-1
563,すきだらけ,-1
564,すきっと,1
565,すさまじさ,0
566,すっきり,1
567,すったもんだ,-1
568,すってんてん,-1
569,すっと,1
570,すっぽかし,-1
571,すてき,1
572,すばやさ,1
573,すばらしさ,1
574,すみれ,0
575,すり,-1
576,ずぶ濡れ,-1
